OBJECTID_1,OBJECTID,Date,Confidence,LS_ID,Notes,DDLon,DDLat,ORIG_OID,FoundGE,NotFoundGE,FoundLS,NotFoundLS,QC_GE,QC_LS,,
341,19546,2014,8,L-016-2014,landslide,084.75232000W,38.67639500N,19545,,WL,,,,,,
356,19665,4/3/2015,8, ,"debris flow, debris flow, heavy rains, snowmelt",082.83360100W,37.72323000N,19664,,WL,,,,,,
357,19666,4/14/2015,8, ,"landslide, rockslide, heavy rains, snowmelt",083.21245200W,37.28695800N,19665,,WL,,,,,,
359,19679,4/2/2015,8, ,"landslide, translational slide, heavy rains",082.40893000W,37.45774800N,19678,,WL,,,,,,
363,19699,9/28/2015,8, ,"rockfall, rockfall, weathered shale at base of slope, resistant sandstone above",083.36086500W,37.55196500N,19698,,WL,,,,,,
365,19714,12/25/2015,8, ,"rockslide, rockslide,",082.62284200W,38.07496000N,19713,,WL,,,,,,
366,19791,12/28/2016,8, ,rockfall,082.97596600W,37.77417700N,19790,,WL,,,,,,
367,19794,1/24/2017,8, ,rockfall,082.72450300W,37.82994000N,19793,,WL,,,,,,
368,19796,2/6/2017,8, ,rockslide,084.07209600W,37.01319600N,19795,,WL,,,,,,
369,19797,2/7/2017,8, ,rockfall,083.41702100W,38.07533100N,19796,,WL,,,,,,
370,19806,4/1/2017,8, ,rockslide,083.10575800W,37.27508000N,19805,,WL,,,,,,
371,19809,4/22/2017,8, ,debris flow,083.33292400W,36.71633200N,19808,,WL,,,,,,
372,19810,5/12/2017,8, ,rotational,082.47684000W,37.66527100N,19809,,WL,,,,,,
373,19823,5/19/2017,8, ,debris flow,082.52193000W,37.48273900N,19822,,WL,,,,,,
375,49583,2010/02/05,8,201002061001,"process points, Ghost Town - Rich Cove, Field verified by NCGS,",083.10118684W,35.53147638N,49582,,WL,,,,,,
376,49584,2010/02/12,8,201002120002,"process points, Blossomtown 2, Field verified by NCGS,",083.39942366W,35.14418101N,49583,,WL,,,,,,
383,49591,2006/03/22,8,52,"process points, I-40 MP 1 slide, Field verified by Data Source 1,",083.09056399W,35.77571232N,49590,,WL,,,,,,
384,49592,2004/07/23,8,53,"process points, U.S. 321, Field verified by NCGS,",081.61204000W,36.06418000N,49591,,WL,,,,,,
388,49596,2004/05/11,8,35,"process points, So Hi Trail, Field verified by NCGS,",083.58280872W,35.38577740N,49595,,WL,,,,,,
389,49597,2004/05/11,8,36,"process points, Mike's Dawg House Slide, Field verified by NCGS,",083.56157000W,35.34071000N,49596,,WL,,,,,,
390,49598,2004/06/24,8,37,"process points, Tory Lane Slide, Field verified by Data Source 1,",083.56120000W,35.33650000N,49597,,WL,,,,,,
391,49599,2004/05/11,8,38,"process points, Nantahala Cabins Downhill Drive Slide, Field verified by NCGS,",083.56039306W,35.34080901N,49598,,WL,,,,,,
392,49600,2004/06/30,8,39,"process points, Charley Branch #3, Field verified by NCGS,",083.55109338W,35.34189538N,49599,,WL,,,,,,
393,49601,2004/06/30,8,40,"process points, Charley Branch #4, Field verified by NCGS,",083.55531911W,35.34054816N,49600,,WL,,,,,,
394,49602,2004/06/24,8,41,"process points, Charley Branch #1, Field verified by NCGS,",083.54864068W,35.33937995N,49601,,WL,,,,,,
395,49603,2004/01/16,8,59,"process points, CPR-082, Field verified by NCGS,",082.47939000W,35.66344000N,49602,,WL,,,,,,
396,49604,2004/02/04,8,60,"process points, SKR-003, Field verified by NCGS,",082.59411700W,35.49471900N,49603,,WL,,,,,,
397,49605,2004/04/28,8,61,"process points, Cherokee Gap East Slide, Field verified by NCGS,",083.31261000W,35.47146000N,49604,,WL,,,,,,
398,49606,2004/03/03,8,62,"process points, Grassy Creek Mine Waste Slide, Field verified by NCGS,",082.06467000W,35.89231000N,49605,,WL,,,,,,
399,49607,2004/02/09,8,63,"process points, Days Inn Embankment Failure, Field verified by NCGS,",082.99550484W,35.50507547N,49606,,WL,,,,,,
400,49608,2004/07/22,8,64,"process points, Burger King Cut Slope Failure, Field verified by NCGS,",082.98894000W,35.50109000N,49607,,WL,,,,,,
401,49609,2004/05/03,8,65,"process points, Lands Creek Debris Flow II, Field verified by NCGS,",083.47661327W,35.47016620N,49608,,WL,,,,,,
402,49610,2004/05/03,8,66,"process points, Lands Creek III, Field verified by NCGS,",083.47631000W,35.47454000N,49609,,WL,,,,,,
403,49611,2004/05/06,8,67,"process points, Ghost Town Debris Flow, Field verified by NCGS,",083.10039975W,35.53070260N,49610,,WL,,,,,,
404,49612,2004/05/12,8,68,"process points, MRR-015, Field verified by NCGS,",082.31710100W,35.73536100N,49611,,WL,,,,,,
405,49613,2004/05/12,8,69,"process points, MRR-004, Field verified by NCGS,",082.31369500W,35.73249100N,49612,,WL,,,,,,
406,49614,2004/05/20,8,71,"process points, Copperhead Ridge Slide, Field verified by NCGS,",082.25394714W,35.58164002N,49613,,WL,,,,,,
407,49615,2004/06/15,8,72,"process points, Owl Branch Slide, Field verified by NCGS,",083.33261000W,35.47646000N,49614,,WL,,,,,,
408,49616,2004/06/14,8,73,"process points, Long Mountain Branch Slide, Field verified by NCGS,",082.84431000W,35.85640000N,49615,,WL,,,,,,
409,49617,2004/06/22,8,74,"process points, Eagles Roost Slide, Field verified by NCGS,",083.43178000W,35.36272000N,49616,,WL,,,,,,
